"STATION","NAME","DATE","AWND","PGTM","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-15","10.96",,"64","71","51","   10","   30","21.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-16","5.37",,"62","79","47","   60","   70","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-17","9.17",,"63","69","52","   30","   20","19.9","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-18","10.96",,"57","65","52","   30","   10","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-19","5.37",,"60","69","54","   30","   40","23.0","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-20","13.65",,"51","55","44","   30","   30","23.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-21","6.26",,"53","64","49","  220","  220","18.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-22","4.70",,"59","67","54","   50","   50","14.1","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-23","4.03",,"64","80","52","   90","  100","13.0","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-24","5.14",,"71","87","58","  220","  180","13.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-25","8.95",,"78","89","67","  220","  220","17.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-26","6.93",,"79","90","70","  270","  250","13.0","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-27","4.70",,"83","97","70","   80","   60","14.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-28","7.16",,"83","95","70","   20","   30","31.1","38.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-29","6.71",,"77","87","66","   80","   70","19.9","30.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-30","8.05",,"75","86","67","  110","  270","21.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-05-31","9.62",,"77","89","69","  260","  240","18.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-01","13.42",,"71","76","53","   30","   30","23.9","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-02","8.72",,"60","70","52","   40","   40","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-03","14.32",,"67","78","60","  280","  310","25.9","38.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-04","10.07",,"67","80","55","  290","  320","21.0","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-05","13.20",,"67","72","54","   30","   30","23.0","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-06","5.82",,"61","79","48","  290","  280","16.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-07","8.72",,"71","81","60","   30","   40","17.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-08","8.28",,"64","73","59","   20","   30","15.0","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-09","5.82",,"66","82","57","   60","   60","21.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-10","7.83",,"65","71","60","  250","  230","19.9","25.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-11","9.62",,"64","70","61","  100","   70","16.1","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-12","3.80",,"69","80","62","  220","  230","12.1","13.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-13","8.72",,"75","81","64","  320","  320","19.9","25.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-14","4.47",,"73","81","64","   80","   80","14.1","16.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-15","6.71",,"74","89","64","  160","  150","16.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-16","9.62",,"81","92","69","   30","   20","31.1","45.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-17","10.74",,"86","93","78","  210","  200","21.9","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-18","12.75",,"87","95","66","  360","  240","28.0","33.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-19","8.50",,"71","81","63","  340","   10","18.1","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-20","8.05",,"69","77","65","   40","   50","17.0","19.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-21","12.75",,"66","67","62","   70","   70","19.9","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-22","13.87",,"62","64","59","   40","   30","21.9","28.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-23","5.37",,"68","81","62","  100","  330","13.0","15.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-24","8.72",,"73","80","64","   20","   30","21.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-25","11.41",,"69","78","61","  100","  100","21.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-26","8.95",,"73","84","66","  180","  160","17.0","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-27","6.71",,"73","80","69","  280","  270","18.1","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-28","4.70",,"76","88","68","   90","   80","14.1","19.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-29","10.07",,"82","96","73","  200","  200","17.0","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-06-30","11.18",,"87","94","80","  190","  190","21.0","29.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-07-01","12.30",,"85","94","76","  260","  250","38.0","49.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-07-02","5.82",,"77","85","69","  100","   90","12.1","23.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-07-03","6.26",,"78","89","63","   80","   90","15.0","18.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-07-04","7.61",,"83","93","76","  190","  180","17.0","23.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-07-05","6.49",,"81","92","74","  290","  300","18.1","21.9"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-07-06","13.87",,"74","75","64","   40","   40","21.9","27.1"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-07-07","6.93",,"71","82","59","  110","   90","15.0","21.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-07-08","4.25",,"75","88","63","  170","  170","12.1","17.0"
"USW00094846","CHICAGO OHARE INTERNATIONAL AIRPORT, IL US","2018-07-09","7.83",,"79","91","67","  240","  220","15.0","19.9"
