,game_id,season,type,date_time,away_team_id,home_team_id,away_goals,home_goals,outcome,home_rink_side_start,venue,venue_link,venue_time_zone_id,venue_time_zone_offset,venue_time_zone_tz,HomeTeam,AwayTeam
1580,2013020459,20132014,R,2013-12-11T00:00:00Z,14,15,5,6,home win SO,right,Verizon Center,/api/v1/venues/null,America/New_York,-4,EDT,Washington,Tampa Bay
1621,2013020461,20132014,R,2013-12-11T00:00:00Z,26,8,6,0,away win REG,right,Centre Bell,/api/v1/venues/null,America/Montreal,-4,EDT,Montreal,Los Angeles
2081,2013020458,20132014,R,2013-12-11T00:00:00Z,9,7,1,2,home win SO,left,First Niagara Center,/api/v1/venues/null,America/New_York,-4,EDT,Buffalo,Ottawa
1146,2013020462,20132014,R,2013-12-11T00:30:00Z,17,13,2,3,home win SO,right,BB&T Center,/api/v1/venues/null,America/New_York,-4,EDT,Florida,Detroit
1603,2013020463,20132014,R,2013-12-11T00:30:00Z,18,3,4,1,away win REG,right,Madison Square Garden,/api/v1/venues/null,America/New_York,-4,EDT,NY Rangers,Nashville
1349,2013020464,20132014,R,2013-12-11T01:00:00Z,19,52,2,1,away win REG,right,MTS Centre,/api/v1/venues/null,America/Winnipeg,-5,CDT,Winnipeg,St Louis
2079,2013020465,20132014,R,2013-12-11T01:30:00Z,16,25,6,2,away win REG,right,American Airlines Center,/api/v1/venues/null,America/Chicago,-5,CDT,Dallas,Chicago
1232,2013020466,20132014,R,2013-12-11T02:00:00Z,27,21,3,1,away win REG,right,Pepsi Center,/api/v1/venues/null,America/Denver,-6,MDT,Colorado,Phoenix
1738,2013020468,20132014,R,2013-12-11T02:30:00Z,12,22,4,5,home win OT,left,Rexall Place,/api/v1/venues/null,America/Edmonton,-6,MDT,Edmonton,Carolina
2009,2013020467,20132014,R,2013-12-11T02:30:00Z,6,20,2,1,away win REG,right,Scotiabank Saddledome,/api/v1/venues/null,America/Denver,-6,MDT,Calgary,Boston
1489,2013020469,20132014,R,2013-12-11T03:30:00Z,2,28,3,2,away win SO,left,SAP Center at San Jose,/api/v1/venues/null,America/Los_Angeles,-7,PDT,San Jose,NY Islanders
1639,2013020470,20132014,R,2013-12-12T00:30:00Z,26,10,3,1,away win REG,right,Air Canada Centre,/api/v1/venues/null,America/Toronto,-4,EDT,Toronto,Los Angeles
1604,2013020471,20132014,R,2013-12-12T01:00:00Z,4,16,2,7,home win REG,right,United Center,/api/v1/venues/null,America/Chicago,-5,CDT,Chicago,Philadelphia
1601,2013020472,20132014,R,2013-12-12T03:30:00Z,30,24,1,2,home win REG,left,Honda Center,/api/v1/venues/null,America/Los_Angeles,-7,PDT,Anaheim,Minnesota
1226,2013020474,20132014,R,2013-12-13T00:00:00Z,8,4,1,2,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT,Philadelphia,Montreal
2121,2013020473,20132014,R,2013-12-13T00:00:00Z,29,3,4,2,away win REG,right,Madison Square Garden,/api/v1/venues/null,America/New_York,-4,EDT,NY Rangers,Columbus
1165,2013020476,20132014,R,2013-12-13T00:30:00Z,17,14,1,2,home win SO,left,Tampa Bay Times Forum,/api/v1/venues/null,America/New_York,-4,EDT,Tampa Bay,Detroit
2089,2013020475,20132014,R,2013-12-13T00:30:00Z,7,9,1,2,home win REG,left,Canadian Tire Centre,/api/v1/venues/null,America/New_York,-4,EDT,Ottawa,Buffalo
1154,2013020479,20132014,R,2013-12-13T01:00:00Z,21,52,4,3,away win SO,right,MTS Centre,/api/v1/venues/null,America/Winnipeg,-5,CDT,Winnipeg,Colorado
1681,2013020477,20132014,R,2013-12-13T01:00:00Z,10,19,3,6,home win REG,left,Scottrade Center,/api/v1/venues/null,America/Chicago,-5,CDT,St Louis,Toronto
1920,2013020478,20132014,R,2013-12-13T01:00:00Z,25,18,1,3,home win REG,left,Bridgestone Arena,/api/v1/venues/null,America/Chicago,-5,CDT,Nashville,Dallas
1745,2013020481,20132014,R,2013-12-13T02:00:00Z,2,27,3,6,home win REG,,Jobing.com Arena,/api/v1/venues/null,America/Phoenix,-7,MST,Phoenix,NY Islanders
1879,2013020480,20132014,R,2013-12-13T02:00:00Z,12,20,1,2,home win OT,right,Scotiabank Saddledome,/api/v1/venues/null,America/Denver,-6,MDT,Calgary,Carolina
1783,2013020482,20132014,R,2013-12-13T02:30:00Z,6,22,4,2,away win REG,left,Rexall Place,/api/v1/venues/null,America/Edmonton,-6,MDT,Edmonton,Boston
1316,2013020483,20132014,R,2013-12-13T03:30:00Z,30,28,1,3,home win REG,left,SAP Center at San Jose,/api/v1/venues/null,America/Los_Angeles,-7,PDT,San Jose,Minnesota
1880,2013020484,20132014,R,2013-12-14T00:00:00Z,1,5,2,3,home win REG,left,CONSOL Energy Center,/api/v1/venues/null,America/New_York,-4,EDT,Pittsburgh,New Jersey
1236,2013020485,20132014,R,2013-12-14T00:30:00Z,15,13,2,3,home win SO,right,BB&T Center,/api/v1/venues/null,America/New_York,-4,EDT,Florida,Washington
1773,2013020486,20132014,R,2013-12-14T02:00:00Z,22,23,0,4,home win REG,right,Rogers Arena,/api/v1/venues/null,America/Vancouver,-7,PDT,Vancouver,Edmonton
1087,2013020487,20132014,R,2013-12-14T19:00:00Z,20,7,2,1,away win OT,left,First Niagara Center,/api/v1/venues/null,America/New_York,-4,EDT,Buffalo,Calgary
1950,2013020488,20132014,R,2013-12-14T19:00:00Z,26,9,5,2,away win REG,left,Canadian Tire Centre,/api/v1/venues/null,America/New_York,-4,EDT,Ottawa,Los Angeles
1256,2013020489,20132014,R,2013-12-14T20:00:00Z,25,52,6,4,away win REG,right,MTS Centre,/api/v1/venues/null,America/Winnipeg,-5,CDT,Winnipeg,Dallas
1119,2013020490,20132014,R,2013-12-15T00:00:00Z,16,10,3,7,home win REG,right,Air Canada Centre,/api/v1/venues/null,America/Toronto,-4,EDT,Toronto,Chicago
1467,2013020491,20132014,R,2013-12-15T00:00:00Z,5,17,4,1,away win REG,right,Joe Louis Arena,/api/v1/venues/null,America/Detroit,-4,EDT,Detroit,Pittsburgh
1550,2013020492,20132014,R,2013-12-15T00:00:00Z,14,1,0,3,home win REG,left,Prudential Center,/api/v1/venues/null,America/New_York,-4,EDT,New Jersey,Tampa Bay
1790,2013020493,20132014,R,2013-12-15T00:00:00Z,8,2,1,0,away win OT,left,Nassau Coliseum,/api/v1/venues/null,America/New_York,-4,EDT,NY Islanders,Montreal
2099,2013020494,20132014,R,2013-12-15T00:00:00Z,19,29,4,3,away win OT,left,Nationwide Arena,/api/v1/venues/null,America/New_York,-4,EDT,Columbus,St Louis
1211,2013020495,20132014,R,2013-12-15T01:00:00Z,28,18,2,3,home win REG,left,Bridgestone Arena,/api/v1/venues/null,America/Chicago,-5,CDT,Nashville,San Jose
2113,2013020496,20132014,R,2013-12-15T01:00:00Z,12,27,3,1,away win REG,,Jobing.com Arena,/api/v1/venues/null,America/Phoenix,-7,MST,Phoenix,Carolina
924,2013020497,20132014,R,2013-12-15T02:00:00Z,30,21,2,1,away win SO,right,Pepsi Center,/api/v1/venues/null,America/Denver,-6,MDT,Colorado,Minnesota
1070,2013020498,20132014,R,2013-12-15T03:00:00Z,6,23,2,6,home win REG,right,Rogers Arena,/api/v1/venues/null,America/Vancouver,-7,PDT,Vancouver,Boston
1163,2013020499,20132014,R,2013-12-15T20:00:00Z,4,15,4,5,home win SO,right,Verizon Center,/api/v1/venues/null,America/New_York,-4,EDT,Washington,Philadelphia
1240,2013020500,20132014,R,2013-12-15T22:00:00Z,14,17,3,0,away win REG,right,Joe Louis Arena,/api/v1/venues/null,America/Detroit,-4,EDT,Detroit,Tampa Bay
2096,2013020501,20132014,R,2013-12-15T23:00:00Z,13,8,2,1,away win REG,right,Centre Bell,/api/v1/venues/null,America/Montreal,-4,EDT,Montreal,Florida
1282,2013020503,20132014,R,2013-12-16T00:00:00Z,26,16,1,3,home win REG,right,United Center,/api/v1/venues/null,America/Chicago,-5,CDT,Chicago,Los Angeles
1380,2013020502,20132014,R,2013-12-16T00:00:00Z,20,3,3,4,home win SO,right,Madison Square Garden,/api/v1/venues/null,America/New_York,-4,EDT,NY Rangers,Calgary
2063,2013020504,20132014,R,2013-12-16T01:00:00Z,22,24,2,3,home win REG,left,Honda Center,/api/v1/venues/null,America/Los_Angeles,-7,PDT,Anaheim,Edmonton
1212,2013020506,20132014,R,2013-12-17T00:00:00Z,52,29,3,2,away win REG,left,Nationwide Arena,/api/v1/venues/null,America/New_York,-4,EDT,Columbus,Winnipeg
1495,2013020505,20132014,R,2013-12-17T00:00:00Z,10,5,1,3,home win REG,left,CONSOL Energy Center,/api/v1/venues/null,America/New_York,-4,EDT,Pittsburgh,Toronto
2088,2013020507,20132014,R,2013-12-17T00:30:00Z,19,9,2,3,home win OT,left,Canadian Tire Centre,/api/v1/venues/null,America/New_York,-4,EDT,Ottawa,St Louis
1774,2013020508,20132014,R,2013-12-17T02:00:00Z,25,21,2,6,home win REG,right,Pepsi Center,/api/v1/venues/null,America/Denver,-6,MDT,Colorado,Dallas
1034,2013020512,20132014,R,2013-12-18T00:00:00Z,14,2,3,2,away win SO,left,Nassau Coliseum,/api/v1/venues/null,America/New_York,-4,EDT,NY Islanders,Tampa Bay
1134,2013020509,20132014,R,2013-12-18T00:00:00Z,20,6,0,2,home win REG,left,TD Garden,/api/v1/venues/null,America/New_York,-4,EDT,Boston,Calgary
1201,2013020511,20132014,R,2013-12-18T00:00:00Z,13,10,3,1,away win REG,right,Air Canada Centre,/api/v1/venues/null,America/Toronto,-4,EDT,Toronto,Florida
1538,2013020510,20132014,R,2013-12-18T00:00:00Z,52,7,2,4,home win REG,left,First Niagara Center,/api/v1/venues/null,America/New_York,-4,EDT,Buffalo,Winnipeg
1268,2013020515,20132014,R,2013-12-18T00:30:00Z,15,4,2,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT,Philadelphia,Washington
1899,2013020514,20132014,R,2013-12-18T00:30:00Z,24,17,5,2,away win REG,right,Joe Louis Arena,/api/v1/venues/null,America/Detroit,-4,EDT,Detroit,Anaheim
2056,2013020513,20132014,R,2013-12-18T00:30:00Z,27,8,1,3,home win REG,right,Centre Bell,/api/v1/venues/null,America/Montreal,-4,EDT,Montreal,Phoenix
1180,2013020517,20132014,R,2013-12-18T01:00:00Z,16,18,3,1,away win REG,left,Bridgestone Arena,/api/v1/venues/null,America/Chicago,-5,CDT,Nashville,Chicago
2108,2013020516,20132014,R,2013-12-18T01:00:00Z,28,19,4,2,away win REG,left,Scottrade Center,/api/v1/venues/null,America/Chicago,-5,CDT,St Louis,San Jose
2123,2013020518,20132014,R,2013-12-18T01:00:00Z,23,30,2,3,home win SO,right,Xcel Energy Center,/api/v1/venues/null,America/Chicago,-5,CDT,Minnesota,Vancouver
1976,2013020519,20132014,R,2013-12-18T01:30:00Z,21,25,2,3,home win REG,right,American Airlines Center,/api/v1/venues/null,America/Chicago,-5,CDT,Dallas,Colorado
1822,2013020520,20132014,R,2013-12-18T03:30:00Z,22,26,0,3,home win REG,right,Staples Center,/api/v1/venues/null,America/Los_Angeles,-7,PDT,Los Angeles,Edmonton
932,2013020521,20132014,R,2013-12-19T00:30:00Z,9,1,2,5,home win REG,left,Prudential Center,/api/v1/venues/null,America/New_York,-4,EDT,New Jersey,Ottawa
1624,2013020522,20132014,R,2013-12-19T01:00:00Z,5,3,4,3,away win SO,right,Madison Square Garden,/api/v1/venues/null,America/New_York,-4,EDT,NY Rangers,Pittsburgh
1336,2013020523,20132014,R,2013-12-20T00:00:00Z,6,7,2,4,home win REG,left,First Niagara Center,/api/v1/venues/null,America/New_York,-4,EDT,Buffalo,Boston
1399,2013020524,20132014,R,2013-12-20T00:00:00Z,27,10,1,2,home win SO,right,Air Canada Centre,/api/v1/venues/null,America/Toronto,-4,EDT,Toronto,Phoenix
1481,2013020526,20132014,R,2013-12-20T00:00:00Z,30,5,2,5,home win REG,left,CONSOL Energy Center,/api/v1/venues/null,America/New_York,-4,EDT,Pittsburgh,Minnesota
2025,2013020525,20132014,R,2013-12-20T00:00:00Z,29,4,4,5,home win REG,right,Wells Fargo Center,/api/v1/venues/null,America/New_York,-4,EDT,Philadelphia,Columbus
1389,2013020529,20132014,R,2013-12-20T00:30:00Z,18,14,2,4,home win REG,left,Tampa Bay Times Forum,/api/v1/venues/null,America/New_York,-4,EDT,Tampa Bay,Nashville
